Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
7,3.11492,207.55,2,0,2
19,8.10242,184.267,7,4,2
24,10.4863,194.742,5,5,2
99,42.712,61.6314,23,21,0
5,1.46423,255.199,2,1,2
5,2.02868,239.67,2,1,2
73,27.0352,54.8164,24,11,0
70,31.157,93.8364,15,20,1
24,9.22102,197.439,8,4,2
49,19.7849,180.933,12,14,2
52,23.585,137.032,16,7,2
4,1.77387,234.743,1,2,2
59,25.437,143.088,15,11,1
29,9.01814,174.067,13,1,2
3,1.07926,269.431,1,0,2
7,4.13995,265.083,1,2,2
55,23.7591,143.492,3,17,2
44,18.0416,145.37,10,11,1
10,4.03669,260.616,3,3,2
33,17.0955,145.283,3,7,2
41,15.2874,209.118,9,12,2
44,17.5203,187.117,11,7,2
24,6.9214,221.614,9,4,2
38,15.2386,196.937,12,6,2
24,10.0154,230.313,6,5,2
38,17.576,148.579,6,13,1
49,23.1562,168.283,15,11,2
21,8.0497,202.88,3,3,2
80,34.5809,97.317,19,12,1
56,24.9695,154.386,15,5,2
7,2.01254,249.624,2,2,2
29,10.7189,192.565,9,2,2
17,7.75516,224.588,4,3,2
92,42.1935,97.7612,18,20,1
9,4.55213,254.144,0,3,2
8,4.25996,246.68,3,2,2
45,18.5232,138.84,8,10,1
29,13.2368,167.016,6,7,2
95,34.9799,83.4597,28,18,0
64,31.2667,115.247,11,12,1
5,1.87065,264.483,1,1,2
9,3.21126,255.341,1,3,2
48,21.9708,93.8114,10,7,1
38,16.5897,185.992,12,5,2
72,27.0732,133.005,16,14,1
10,3.9291,242.449,2,1,2
8,2.20011,231.812,3,2,2
70,32.091,128.249,21,12,2
38,13.5082,143.961,12,7,1
18,5.61884,177.492,8,5,1
46,21.3696,171.045,12,6,2
14,5.31305,253.535,6,1,2
15,6.4482,240.113,3,5,2
9,5.00626,227.408,0,4,2
12,4.63935,255.071,4,3,2
7,1.70361,259.609,4,1,2
14,6.06881,218.039,3,3,2
16,6.1745,250.129,2,4,2
9,4.74487,254.053,2,3,2
71,28.8077,121.554,18,8,1
42,16.9278,139.335,10,8,2
16,9.04357,208.433,1,7,2
21,8.64594,210.223,6,4,2
25,8.72572,177.85,4,2,2
23,7.26887,201.282,8,8,1
22,6.88615,233.838,5,4,2
43,16.0837,148.068,10,11,2
70,28.4327,137.065,18,10,1
7,2.37781,253.659,1,2,2
19,9.11866,207.92,5,6,2
64,24.4387,109.134,10,9,2
14,6.82163,215.504,4,1,2
38,15.5804,208.467,9,7,2
15,5.50502,237.227,5,1,2
1,0.621402,268.299,0,0,2
91,40.4948,121.266,23,21,1
63,27.001,91.5924,13,12,1
1,0.204295,261.316,0,0,2
47,22.5661,154.841,11,3,1
75,32.845,105.952,25,12,1
20,7.18107,221.321,6,5,2
33,13.5526,173.731,6,5,1
30,10.7667,210.914,6,5,1
82,32.4544,81.2615,20,15,0
26,12.4572,204.651,6,2,2
31,10.0295,192.24,10,6,1
49,20.4169,134.845,10,11,1
4,1.13118,261.774,1,1,2
63,29.6203,116.754,8,14,1
17,4.75317,247.803,7,1,2
20,7.81367,209.343,4,5,2
25,10.2248,239.329,7,5,2
95,36.6548,95.7062,22,30,1
11,4.834,244.958,1,3,2
23,11.7644,163.89,8,2,2
10,2.79403,249.359,2,2,2
54,21.9101,162.046,11,13,2
90,39.3104,67.5681,22,21,0
39,16.2753,156.266,11,5,2
38,14.0583,170.622,10,8,1
49,23.1264,102.251,11,13,1
9,3.1091,262.826,2,1,2
14,6.28096,232.613,3,5,2
16,7.01475,213.884,5,1,2
1,0.19836,258.642,1,0,2
41,17.3084,156.223,5,12,2
55,19.7043,162.743,19,10,2
49,20.6849,187.293,18,7,1
44,19.8308,169.609,10,8,1
19,9.59357,210.747,5,4,2
16,7.15143,211.4,2,6,2
92,38.5504,69.9546,24,16,0
100,42.5579,62.0207,15,25,0
7,2.70073,234.573,1,0,2
58,24.478,137.2,13,8,1
107,40.5364,71.5537,26,15,0
5,1.83662,219.6,2,1,2
1,0.372635,265.114,0,0,2
3,2.37977,264.651,0,2,2
20,6.46493,215.62,8,4,2
60,27.6557,86.8327,15,14,1
62,28.2983,92.0279,12,11,1
13,4.7762,250.397,4,3,2
69,32.5572,107.094,14,15,0
42,18.8643,160.556,12,7,1
26,10.1837,223.662,5,4,2
39,14.9593,204.562,10,8,2
12,4.63099,222.259,5,0,2
35,17.6152,134.495,7,5,1
40,14.0307,105.822,9,5,1
6,1.63946,253.562,3,2,2
107,43.8465,84.0797,27,19,0
35,15.067,167.592,10,7,2
15,4.62823,233.509,9,3,2
24,9.90192,197.571,4,3,2
13,5.19115,226.1,1,2,2
76,37.1848,58.7113,16,13,1
13,4.69458,223.154,6,3,2
63,26.296,140.254,15,11,1
12,3.73482,258.474,3,4,2
4,1.6169,261.598,1,0,2
4,1.94365,258.704,0,1,2
53,24.4822,159.464,8,16,2
14,5.64033,239.538,3,2,2
11,5.67146,247.875,0,3,2
37,18.4524,167.435,5,5,2
52,20.0862,107.832,15,15,1
11,3.71389,243.578,4,2,2
75,27.1484,117.609,21,15,1
42,14.9868,156.982,9,7,2
79,34.6965,121.897,18,15,1
21,8.78061,198.872,7,2,2
110,43.6561,57.985,25,24,1
7,3.05455,257.222,1,3,2
22,8.61953,233.909,3,4,2
7,3.03961,255.541,1,2,2
3,1.02306,248.982,2,0,2
102,41.6827,73.2134,27,24,0
10,3.3925,235.47,3,1,2
56,24.5381,122.812,9,8,2
55,23.1802,168.614,13,10,2
10,6.24826,225.725,1,4,2
17,7.43326,245.486,2,5,2
43,20.9072,181.292,8,11,1
32,11.0132,157.285,8,3,1
14,4.14993,253.467,5,1,2
46,21.4048,138.963,11,9,1
71,26.6047,103.379,19,14,2
80,31.9118,81.2461,18,22,1
40,17.88,182.947,8,7,2
59,19.5083,164.936,24,6,1
18,6.2758,222.673,7,4,2
1,0.337289,259.618,0,0,2
19,8.36836,232.689,3,4,2
9,4.61294,201.866,1,1,2
27,11.6473,217.167,4,9,2
76,35.2071,117.349,19,17,1
11,5.22074,196.945,3,2,2
77,36.5212,78.9291,16,19,1
35,17.4803,192.819,10,8,2
75,29.2807,136.456,19,16,2
79,36.8165,71.4175,19,13,0
20,9.34085,248.233,4,2,2
42,15.3887,153.981,14,6,2
29,11.2077,196.52,10,3,2
42,19.4332,150.099,5,5,2
