Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
108,46.3954,33.9464,37,20,0
66,29.5672,99.1345,16,9,1
10,3.58498,232.474,3,0,2
20,9.76492,190.686,4,2,2
4,1.87405,261.48,0,1,2
3,1.56725,260.13,0,0,2
11,3.30514,252.341,3,2,2
33,12.5418,177.325,12,9,2
30,9.95045,202.699,11,4,2
18,7.38904,181.346,7,4,2
12,4.54979,251.096,4,3,2
62,29.9899,156.281,14,14,2
27,10.0746,150.631,8,4,2
49,20.1003,92.606,9,10,0
138,53.7803,38.8313,32,23,1
67,29.3213,139.24,19,19,1
23,9.54111,192.291,2,6,2
104,41.461,75.2292,30,22,0
55,26.2298,97.3816,10,14,1
7,3.03235,246.074,1,2,2
25,8.75673,218.496,5,8,2
5,2.06908,246.577,1,3,2
64,23.8692,109.906,20,11,1
88,35.0726,94.9888,27,19,1
2,0.578896,244.681,1,1,2
3,1.30436,245.767,0,2,2
24,10.1579,199.596,4,6,2
36,17.3221,152.384,6,8,1
1,0.467471,270.624,0,1,2
1,1.00329,265.564,0,0,2
7,3.50882,228.904,1,1,2
102,43.0998,58.7006,27,20,0
90,35.8037,95.9461,22,15,1
21,10.037,183.381,5,8,2
67,28.7192,101.629,15,14,1
13,5.31778,248.88,5,0,2
66,25.3273,161.938,18,17,1
29,8.94898,168.576,14,5,2
54,23.4945,169.605,14,6,2
53,25.4094,148.083,11,8,2
25,11.6503,205.47,4,6,2
35,14.3697,110.673,8,3,2
18,6.66514,231.867,5,5,2
13,5.49512,207.062,3,2,2
74,30.4174,63.4508,19,12,0
41,20.904,146.15,11,7,0
51,23.0723,142.451,10,11,1
9,4.34002,257.915,1,4,2
37,15.1996,151.502,14,8,2
73,27.9476,98.2974,26,18,1
5,1.65791,231.331,1,1,2
17,5.4627,203.702,6,3,2
36,12.5946,199.752,13,8,2
62,30.1127,72.3485,17,12,1
15,8.37251,245.045,3,4,2
87,38.979,108.889,18,18,1
8,2.77594,207.246,1,1,2
20,9.00656,218.627,2,5,2
50,24.1378,181.116,7,9,1
16,5.48763,230.041,5,5,2
17,11.78,225.753,6,4,2
55,22.2892,150.477,14,9,2
20,9.93468,193.964,2,5,2
7,2.62487,241.509,2,1,2
63,23.8912,116.237,14,14,1
28,9.48183,169.623,7,6,2
58,24.0373,149.035,13,17,2
91,37.159,77.2145,23,17,1
41,19.62,140.834,6,14,2
53,22.7346,163.954,13,9,1
32,15.8021,170.853,8,4,2
9,2.72359,252.981,4,2,2
8,2.95835,254.511,3,3,2
53,24.7543,54.7631,11,13,1
29,8.18526,151.272,8,5,2
11,3.72836,218.905,4,3,2
13,4.66572,254.673,4,3,2
61,23.2184,124.113,14,10,1
15,5.86118,229.987,6,4,2
29,11.53,183.476,9,5,2
2,1.26108,268.674,0,0,2
7,3.51448,225.293,2,1,2
48,20.2362,159.942,17,8,2
11,6.26643,210.72,1,3,2
77,30.8196,65.6745,17,16,1
13,6.00577,228.271,3,2,2
104,41.7067,51.4412,25,25,0
94,35.2236,52.9215,20,18,0
10,4.70354,233.78,2,0,2
64,24.7871,79.9924,22,10,1
122,51.6896,33.509,38,23,0
40,16.2883,122.688,10,5,2
8,2.9488,232.603,3,1,2
5,2.11086,233.166,1,2,2
5,3.13492,259.076,0,1,2
7,3.58452,249.286,2,1,2
65,27.9049,125.632,9,14,1
8,4.55884,258.583,1,0,2
35,13.7283,161.631,9,9,2
73,30.7031,128.948,14,13,1
17,9.64689,235.722,2,2,2
4,1.68562,247.967,1,1,2
71,32.5436,91.5332,16,16,1
24,10.1949,187.675,5,5,1
78,29.6996,104.118,25,11,1
74,30.3886,127.829,13,15,1
28,11.6347,171.389,4,8,2
54,22.1198,110.452,13,7,1
10,3.37461,245.631,4,2,2
12,4.51685,238.828,3,4,2
55,25.4935,121,13,9,2
8,2.10931,259.442,4,1,2
9,2.53512,265.582,3,1,2
12,5.19986,223.995,2,3,2
62,27.4822,145.171,13,17,1
39,19.2541,204.247,7,13,2
57,25.8423,151.764,13,12,1
71,31.5112,148.766,17,15,1
13,6.62929,241.078,2,1,2
11,3.24083,233.801,4,2,2
19,5.86916,241.722,8,4,2
63,27.4619,136.907,14,10,1
13,5.71035,213.544,2,2,2
4,1.95349,264.251,0,0,2
42,11.8749,162.048,18,7,1
29,12.1392,185.45,11,6,2
11,4.15732,234.913,5,3,2
7,2.46158,227.907,3,1,2
36,13.6861,169.186,6,8,1
28,10.9626,196.669,6,5,2
11,4.13377,259.011,4,4,2
103,38.2004,59.9326,32,17,0
34,15.2439,172.555,10,8,2
114,50.1027,44.5668,20,21,0
4,1.62495,259.399,1,1,2
88,34.0391,97.7461,18,19,0
2,0.627973,235.189,0,1,2
12,5.69708,234.664,1,2,2
11,5.6504,208.437,2,3,2
8,5.89961,241.636,0,2,2
66,24.9145,135.5,14,10,1
13,6.71815,247.225,4,2,2
90,37.1664,120.087,17,22,1
60,25.2718,43.656,14,9,1
1,0.638433,268.19,0,0,2
116,47.5761,59.2218,31,22,0
37,12.5093,169.377,11,8,2
65,28.0257,86.8962,15,10,1
64,28.4542,58.1847,12,18,1
6,2.24465,254.76,3,0,2
48,23.8266,171.215,10,8,2
39,15.5444,165.7,13,2,2
33,15.8234,180.483,1,9,2
61,21.6184,128.607,21,8,2
13,3.51509,229.596,4,3,2
75,32.3792,97.0667,19,21,1
80,34.7036,73.0934,18,15,1
56,24.1379,158.645,14,12,2
3,2.01182,264.488,0,1,2
18,8.98308,185.998,3,2,2
75,30.1328,71.7456,20,17,1
43,21.1064,150.638,7,9,2
13,3.79035,253.884,5,3,2
15,4.9377,207.14,5,3,2
9,3.9697,249.503,1,3,2
9,3.83394,254.605,1,2,2
32,17.683,107.732,6,4,1
29,16.9612,161.772,8,2,2
60,24.2339,148.702,15,12,2
61,25.6124,137.95,14,7,1
48,22.7115,160.088,10,10,1
62,26.0444,136.119,15,10,1
41,18.6482,203.644,9,10,2
31,11.6926,178.693,9,7,2
1,0.380358,264.552,0,0,2
51,23.9105,170.839,14,13,1
35,13.1366,189.371,11,3,2
21,10.1159,204.12,4,5,2
49,19.5952,161.496,12,8,2
30,12.1762,193.06,4,2,2
69,33.3863,89.4109,14,13,0
42,18.4364,120.674,11,10,1
23,9.01314,240.247,8,5,2
118,45.9172,64.7826,37,21,0
12,4.98008,185.015,2,2,2
52,25.417,138.728,11,12,1
106,40.3383,40.4757,34,19,0
18,6.04595,203.501,4,5,2
5,1.61021,244.484,2,2,2
17,9.30477,196.566,4,2,1
29,10.3855,224.422,8,6,2
23,10.0462,212.738,7,3,2
78,33.7043,86.6217,15,19,0
47,19.2778,167.166,16,10,1
3,0.868985,270.131,1,1,2
21,7.79734,235.942,6,3,2
91,36.3798,76.3277,26,18,0
4,1.95015,202.78,1,2,2
59,24.4081,120.447,13,12,1
3,1.02243,230.333,1,1,2
39,14.2184,170.905,13,9,1
27,10.2739,206.066,6,3,2
37,19.3522,168.662,10,4,2
11,4.98415,250.15,2,1,2
60,23.5971,131.516,16,11,1
51,18.1353,136.462,19,12,1
7,3.33542,265.184,2,2,2
4,1.79322,268.536,0,3,2
68,28.6001,112.069,15,19,1
21,12.1086,208.162,3,5,2
83,31.1125,121.805,21,15,1
44,22.6744,141.366,9,11,1
1,0.246758,265.559,0,0,2
84,36.7386,66.7762,17,14,1
60,27.9243,133.489,12,17,1
111,42.5678,40.798,28,29,0
37,14.6631,171.859,11,10,2
22,8.43082,211.752,10,3,1
10,4.62151,219.283,2,1,2
30,12.5366,162.846,10,4,2
58,23.2323,148.035,20,6,1
11,4.05303,258.624,2,2,2
17,6.54545,241.456,4,2,2
8,3.26987,236.997,4,1,2
36,20.3168,181.238,5,7,2
22,9.1525,219.886,3,4,2
6,2.11841,229.147,1,0,2
54,24.5228,163.407,11,10,2
7,2.42638,200.369,2,2,1
28,10.7108,206.081,11,7,2
41,19.1807,163.922,8,10,1
28,9.60556,204.026,9,8,1
7,3.80185,252.676,1,3,2
66,29.3264,131.88,16,8,1
10,5.01889,236.126,3,2,2
27,14.0093,233.55,4,5,2
19,8.29683,243.406,4,4,2
23,8.36337,185.11,4,7,2
56,22.3747,139.374,11,16,1
9,2.60126,224.466,3,2,2
18,6.8217,218.381,5,3,2
2,0.218191,253.583,2,0,2
24,10.384,187.22,5,4,2
9,3.80962,221.708,0,2,2
39,17.3557,170.189,8,9,2
24,11.4307,184.355,6,4,2
87,38.5227,96.1894,18,17,1
12,5.13286,204.532,2,1,2
30,9.7611,219.188,12,5,2
24,9.60442,226.942,7,7,2
73,24.4759,81.8972,19,8,1
96,38.1634,40.824,29,18,0
64,30.9886,103.519,17,12,1
44,22.1536,129.546,5,7,1
55,24.6964,116.608,13,13,1
78,28.4784,97.7356,22,14,1
36,15.0945,166.397,8,9,1
43,17.8868,171.03,11,11,1
13,6.86236,219.075,1,5,2
13,4.72099,232.679,3,2,2
9,3.2128,213.085,2,4,2
42,16.2829,154.906,15,3,2
16,5.2297,219.858,4,2,2
1,1.11908,259.598,0,0,2
81,30.4449,81.2191,24,18,1
8,1.83897,233.327,3,0,2
5,1.64271,261.681,1,0,2
15,5.23287,233.226,4,3,2
3,0.413704,269.444,3,0,2
7,3.98582,226.793,1,2,2
13,4.36762,242.404,5,3,2
38,15.3854,166.973,9,11,1
45,18.3371,168.895,12,7,2
107,40.0655,81.319,27,20,0
66,29.2543,150.998,18,14,1
22,9.32991,209.815,6,7,2
14,4.36989,238.808,6,3,2
91,34.1282,74.6147,28,10,1
92,35.3957,69.9497,30,12,0
31,11.8256,159.042,8,8,1
131,53.7364,53.5053,35,21,0
32,18.7695,143.677,8,11,1
15,6.88917,233.023,3,4,2
95,37.2349,61.0394,28,23,0
14,5.91598,216.54,2,3,2
26,15.5015,155.286,3,9,2
42,18.6116,181.086,5,11,2
59,30.6255,142.963,10,10,1
16,7.1536,237.556,6,3,2
17,5.35258,246.779,7,2,2
64,25.6698,147.292,18,12,2
11,5.45462,222.074,3,5,2
20,8.06877,249.18,4,4,2
8,3.89949,259.496,1,0,2
15,7.94465,227.472,1,4,2
29,13.7439,198.292,6,6,2
14,6.93199,221.24,5,2,2
45,20.1729,159.375,8,13,1
2,1.10395,250.286,1,0,2
10,3.73602,244.435,2,2,2
36,15.0482,165.902,7,9,2
44,18.1592,144.049,11,6,1
96,37.8731,54.1877,26,16,0
96,40.2316,40.6604,24,20,0
15,5.21367,239.753,5,3,2
14,5.99715,214.656,3,4,2
89,36.1012,87.4988,21,27,1
24,8.2226,173.157,6,4,2
22,7.07885,237.971,9,2,2
65,31.7229,115.353,16,11,1
58,25.7832,112.017,14,9,1
75,30.1441,70.9912,23,11,1
25,12.9581,232.209,3,6,1
10,6.28016,247.723,2,1,2
81,35.0759,104.569,22,17,1
6,3.31156,218.25,0,3,2
41,21.5591,152.463,8,11,2
86,35.7782,83.1826,16,24,0
23,9.4684,218.026,8,5,2
10,3.30111,250.519,4,2,2
34,15.7619,184.815,5,8,2
51,19.417,156.973,12,15,2
33,10.9668,177.253,10,4,1
62,27.1544,168.922,13,21,1
61,30.3649,112.314,12,14,1
37,14.7736,157.686,7,10,1
87,32.9782,89.0019,26,15,1
7,2.87451,256.226,2,1,2
9,4.37899,231.835,1,4,2
34,13.0009,191.699,8,7,1
92,36.7757,62.2309,20,21,0
1,0.613555,261.757,0,0,2
16,6.34138,220.301,4,5,2
4,1.12232,246.814,1,0,2
1,0.675814,261.311,0,0,2
81,34.3847,77.8678,20,17,1
13,8.96878,227.934,1,3,2
19,7.28124,214.443,5,4,2
71,33.531,89.6794,19,10,1
32,13.8083,171.325,3,9,1
18,7.89235,228.79,5,3,2
19,7.87476,231.455,4,5,2
29,12.2092,178.258,7,9,2
76,31.9571,107.625,16,19,1
44,20.3212,184.963,16,4,2
22,9.08532,200.721,7,5,2
1,0.294406,259.919,0,0,2
4,5.35747,238.175,0,0,2
6,3.90428,231.263,1,0,2
57,24.2579,108.508,14,9,1
5,1.85968,251.43,0,3,2
10,5.54065,219.832,0,4,2
25,8.78675,209.615,7,5,2
59,21.9185,141.952,21,10,2
13,6.68316,244.643,2,6,2
24,9.54314,194.263,6,4,2
49,22.3583,146.283,9,8,1
98,38.5024,69.1909,22,22,0
37,16.6477,166.874,9,4,2
12,6.61361,229.887,2,3,2
13,5.66824,231.603,2,2,2
22,10.691,209.828,8,2,2
70,26.9088,119.474,19,14,1
76,26.8997,89.3754,24,12,1
88,45.0511,83.5363,12,12,1
68,29.9775,132.938,13,10,1
76,35.709,77.6043,17,8,1
52,18.3014,150.342,21,9,2
32,15.7642,180.879,9,4,2
13,4.73508,182.223,3,3,2
30,12.0374,172.14,6,5,2
14,6.54426,217.891,3,5,2
115,53.5671,52.2215,30,25,0
32,14.9248,182.42,5,7,2
36,14.8768,166.042,12,9,2
3,1.05933,245.343,1,2,2
80,37.6257,67.6112,14,19,0
14,5.93795,214.17,1,3,2
97,40.6317,81.6222,22,23,1
22,9.59606,169.486,6,4,2
38,15.0747,191.374,7,9,2
2,0.405037,244.389,1,0,2
17,9.39453,207.978,2,3,2
45,18.8444,191.339,14,10,2
49,20.6663,177.825,14,6,2
74,33.1394,88.8712,20,15,0
4,1.27924,241.167,1,1,2
14,5.07683,237.798,4,2,2
98,40.4041,38.2581,22,16,0
22,8.47735,221.217,8,3,2
71,25.7854,102.553,18,11,1
78,29.0764,56.3078,22,12,1
33,12.7744,169.485,7,7,2
36,17.1146,189.761,5,13,2
46,17.5585,168.463,10,8,1
15,5.36121,239.593,3,4,2
116,49.5794,35.5976,31,20,0
51,20.7529,122.791,11,10,2
2,0.400163,265.74,1,0,2
53,24.2973,143.422,9,18,1
18,5.99332,225.122,4,4,2
6,1.7028,249.149,1,1,2
37,14.6312,157.719,7,11,2
83,34.0389,86.7967,18,17,1
6,2.81812,255.378,0,1,2
88,42.7096,59.654,16,19,0
80,34.5142,78.7158,16,18,0
20,6.21343,226.944,7,4,2
11,3.79942,251.359,2,3,2
37,14.8152,203.147,8,12,2
12,5.38987,229.07,3,1,1
32,11.7604,212.184,6,7,2
55,25.8673,110.83,10,15,1
24,10.8636,203.315,5,4,2
20,7.63943,238.255,7,2,2
30,11.5136,179.212,6,6,2
77,31.4038,113.741,15,19,2
8,4.47178,201.47,0,2,2
22,10.6453,180.911,3,5,2
35,16.4149,159.336,10,7,2
27,9.00203,217.134,4,6,2
14,4.33053,252.57,3,3,2
27,9.91804,217.982,9,6,2
7,2.52109,236.746,1,2,2
45,18.2853,128.392,8,10,1
65,29.28,130.214,8,12,1
34,14.7621,191.571,5,6,1
39,20.2295,84.5223,10,11,1
9,4.50365,255.948,3,1,2
23,10.011,184.628,8,2,2
16,8.61075,209.6,5,4,2
68,27.1844,105.266,18,13,0
91,38.2691,96.0955,20,18,0
88,32.2288,74.2312,26,17,1
14,6.33618,210.019,1,4,2
47,20.4372,147.261,10,11,1
22,12.2947,197.963,2,3,2
16,7.52497,193.544,4,0,2
25,12.4089,190.006,6,5,2
80,36.3616,63.2458,16,27,1
42,17.6726,119.238,12,8,1
52,17.987,176.98,13,12,2
9,3.33915,249.365,1,3,2
24,9.83449,159.927,5,2,1
10,3.82996,257.512,3,1,2
27,12.899,200.446,3,6,2
4,1.53975,254.965,0,1,2
77,30.6555,104.377,13,22,1
39,21.0267,172.696,9,5,2
111,47.9975,82.2786,21,17,0
72,31.9542,108.505,18,13,1
24,10.7688,174.247,8,6,2
9,2.90325,245.58,1,1,2
56,26.6299,106.363,10,11,2
78,35.4334,94.7492,20,14,1
22,11.1659,226.99,5,4,2
11,5.84401,253.936,0,5,2
66,27.7147,137.397,18,13,1
84,34.9542,63.2476,19,18,1
40,15.6692,132.352,10,9,1
20,9.28666,215.414,3,5,2
69,27.2775,149.013,14,14,2
7,2.68287,253.05,0,3,2
113,43.8744,50.2353,26,23,0
91,36.2497,77.6539,23,15,0
43,18.6337,198.427,11,10,1
7,2.36519,239.331,3,4,2
99,41.9257,55.7402,24,17,1
18,8.82522,215.558,2,3,2
24,13.0571,186.596,7,2,2
60,25.4593,66.0694,14,14,1
56,30.6834,108.29,3,15,1
17,6.60199,217.737,6,2,2
29,10.8341,161.919,8,5,1
26,11.2465,212.984,3,6,2
58,22.0201,137.735,20,10,2
17,6.01907,211.137,6,5,2
14,4.89793,238.477,4,4,2
11,4.70611,260.047,3,5,2
5,2.41407,218.177,1,0,2
17,7.55073,228.212,4,2,2
24,10.4316,218.153,6,5,2
92,40.0338,116.659,21,14,1
41,12.4653,180.114,12,7,2
2,0.249217,269.199,2,0,2
39,14.6385,194.52,9,11,2
7,4.92952,208.458,0,2,2
40,17.8708,192.143,8,8,1
24,9.62214,230.13,8,5,2
9,3.98089,248.981,2,2,2
69,29.2564,83.0182,16,10,0
15,6.79944,205.507,4,1,2
26,10.1567,194.306,6,3,2
6,3.19939,258.204,1,1,2
5,1.7018,242.884,2,2,2
46,12.9729,170.147,16,10,2
21,7.38651,211.636,8,5,2
15,5.43774,236.207,5,4,2
93,38.048,86.3744,22,21,0
72,25.5011,115.282,24,12,1
16,6.03603,221.033,6,2,2
46,15.4119,165.042,13,12,2
47,18.5503,136.558,10,9,1
60,26.0373,114.678,15,15,1
78,32.7677,87.3302,23,23,1
5,2.27512,255.071,0,4,2
21,7.14073,195.991,8,2,2
4,0.904091,255.444,2,0,2
72,31.8252,89.4512,16,21,0
12,3.71684,232.643,3,1,2
13,4.28419,256.944,4,4,2
79,37.1814,86.9074,13,26,1
19,8.76084,245.729,3,7,2
30,15.0228,174.365,11,2,2
25,8.81457,153.539,6,6,1
43,15.7688,147.49,17,9,1
6,1.91857,266.114,2,1,2
10,3.2992,238.177,3,4,2
42,16.7583,177.446,14,5,2
3,1.04398,267.158,1,1,2
15,6.01539,215.654,4,3,2
31,13.2263,178.661,8,7,1
47,23.8652,165.889,8,12,2
41,16.9287,166.346,10,7,2
35,11.7466,163.266,13,7,2
100,40.041,78.5745,27,21,1
125,51.4529,42.7324,39,23,0
33,14.0901,187.35,8,12,2
26,11.7821,202.741,6,8,2
46,21.1014,147.72,4,17,1
23,10.4465,206.42,6,6,2
35,15.4494,119.435,7,8,2
81,31.7227,103.719,22,17,1
72,28.6516,92.0911,18,15,1
7,4.19064,240.546,2,1,2
81,35.3202,55.2574,15,21,0
50,20.3166,105.824,12,10,1
21,9.76629,202.251,4,4,2
21,7.76935,207.932,3,4,2
37,15.8657,178.283,7,9,1
46,19.7948,145.962,10,11,1
53,20.0382,159.424,17,10,1
27,9.86117,206.46,7,3,2
16,7.25515,205.125,3,4,2
43,17.9166,178.52,8,10,2
69,28.3333,108.309,17,15,1
6,2.44803,246.356,2,3,2
24,9.8894,206.022,7,4,2
10,3.50053,239.351,3,1,2
7,3.2844,231.262,3,1,2
43,22.5877,132.153,9,7,2
9,4.20799,254.937,2,2,2
16,5.37022,213.916,3,5,2
7,1.87023,248.314,5,1,2
36,15.4029,161.871,6,10,1
27,11.0935,208.565,3,3,1
20,8.1366,176.104,3,2,2
55,23.0898,108.323,14,5,1
4,2.22125,242.97,1,1,2
19,9.37088,212.838,6,2,2
3,0.596467,261.512,1,0,2
6,1.41732,229.734,3,1,2
10,4.41948,230.846,3,2,2
90,40.8817,77.5484,22,19,1
8,3.64465,264.831,1,3,2
18,7.54407,217.926,5,4,2
55,21.3378,150.62,15,9,1
1,0.591862,255.983,0,1,2
39,15.5802,183.645,10,6,2
15,7.51686,229.677,3,4,2
21,6.8463,234.482,7,3,2
20,7.22871,177.078,5,8,2
33,14.2069,184.526,5,3,2
30,13.8237,194.761,8,6,2
84,33.1158,97.231,22,13,1
26,12.3905,175.884,4,5,2
67,31.4759,141.736,13,11,1
18,9.62676,195.465,2,3,2
8,2.95398,249.303,1,1,2
27,9.79625,188.415,9,5,2
4,1.31526,264.269,2,0,2
13,7.05971,219.072,2,4,2
62,30.2243,77.5652,14,9,0
27,10.9128,193.338,7,7,2
76,36.6483,93.3251,11,19,1
49,24.4614,124.871,10,11,1
9,2.69551,263.939,4,2,2
8,3.9101,249.232,2,0,2
12,6.72475,234.275,0,3,2
51,20.8513,144.676,13,10,1
10,3.19669,239.185,5,1,2
73,30.3212,89.1174,20,15,0
92,38.6899,81.465,21,19,1
25,9.85431,197.514,7,1,2
43,16.7982,108.213,10,11,1
6,1.42266,256.792,4,1,2
112,45.4228,39.459,30,26,0
24,11.2508,204.324,4,3,2
6,2.78433,265.446,1,4,2
7,3.25462,265.882,2,2,2
84,35.4541,90.9221,21,20,1
54,22.2786,158.503,14,8,2
64,25.2193,149.088,17,9,1
7,2.03934,266.338,2,0,2
31,12.6802,188.272,7,6,2
38,15.0975,170.147,7,9,2
14,6.76864,240.183,4,5,2
9,2.62477,259.13,3,0,2
30,13.1712,180.881,10,4,2
16,5.50551,242.984,4,2,2
2,0.721521,260.62,0,1,2
7,3.66843,216.648,2,0,2
20,9.61115,183.95,5,4,2
96,44.6794,80.1029,19,14,1
113,46.842,46.853,26,21,0
22,8.60082,203.06,6,5,1
20,11.6216,231.435,3,6,2
7,3.19449,253.46,1,0,2
27,11.4303,171.267,7,3,2
113,42.2085,64.8084,41,20,0
12,4.87786,265.012,2,1,2
8,3.01499,255.805,2,5,2
17,7.45284,229.945,1,2,2
16,7.85027,237.251,1,4,2
12,3.59491,253.81,6,1,2
11,5.47453,249.629,2,1,2
14,5.58609,200.812,1,3,2
35,13.5931,200.825,9,8,2
19,6.95904,183.715,4,3,2
4,1.6765,264.391,1,1,2
7,3.62583,264.055,0,1,2
12,4.31328,245.57,3,2,2
69,26.7881,107.049,14,20,1
17,5.90298,231.65,7,1,2
31,13.2982,147.041,7,5,2
1,0.327592,264.701,0,0,2
29,9.78901,228.967,9,7,2
15,5.75334,228.139,4,2,2
15,6.85237,225.579,3,1,2
96,39.6055,34.9188,28,18,0
37,15.0179,199.054,9,7,2
65,24.16,113.567,19,11,1
24,9.57417,220.18,4,4,2
30,8.96192,188.576,11,5,2
5,3.22374,244.687,1,2,2
21,8.84997,181.829,5,2,1
15,4.98773,249.352,6,3,2
58,28.6672,167.34,14,9,1
17,8.64063,218.934,3,4,2
76,33.3056,115.315,15,15,1
62,25.9967,139.597,15,12,2
27,14.0492,185.239,6,3,2
105,44.1894,79.6507,21,19,0
102,44.3201,57.3543,24,23,0
34,11.3548,208.42,8,5,2
37,15.7292,147.201,13,6,1
9,3.99418,251.776,1,2,2
12,6.57343,226.539,0,5,2
15,5.92953,252.111,4,4,2
57,28.3229,105.586,12,12,1
15,7.60463,208.654,3,1,2
27,17.0813,137.175,6,4,2
60,23.1196,165.766,19,12,2
15,7.19362,235.631,3,2,2
10,3.0134,250.913,3,2,2
88,34.7637,80.0062,29,14,0
9,4.24269,224.892,3,1,2
71,27.0591,120.1,15,14,1
3,0.481049,261.097,2,0,2
86,35.5495,139.373,28,11,2
5,2.57353,265.06,1,1,2
34,14.3158,178.347,8,7,2
92,37.4532,92.1561,26,15,0
15,8.08905,229.315,3,3,2
98,45.08,83.0336,23,17,1
46,18.6074,197.385,12,11,2
2,0.988496,260.161,1,0,2
66,26.6371,123.609,16,9,1
27,9.70457,135.032,6,3,2
41,18.0096,177.953,6,13,1
76,34.2672,116.792,17,11,1
7,3.08015,255.344,1,2,2
47,22.4547,174.182,11,7,1
12,3.91764,235.183,6,2,2
115,46.3874,50.5742,32,20,0
12,4.64207,235.941,3,2,2
42,19.5886,163.084,11,11,2
89,34.7927,86.1398,24,15,1
23,9.35499,217.794,7,4,2
17,5.87282,234.258,5,4,2
96,41.386,74.5973,18,17,1
2,0.666194,246.657,0,0,2
36,16.0786,117.801,4,7,2
64,28.8585,94.1661,15,16,1
39,15.8395,158.993,11,12,1
46,19.7657,118.535,11,9,2
41,16.6621,143.191,13,11,1
17,5.6447,246.141,6,1,2
30,10.1626,165.576,12,1,2
80,30.1616,83.0473,31,16,0
38,14.4434,149.699,13,4,2
31,11.7865,193.814,8,5,1
8,2.70223,255.392,2,1,2
21,8.39588,217.692,7,3,2
134,57.1328,44.8747,26,28,0
5,2.73103,250.84,0,1,2
78,31.5548,96.275,15,16,2
17,8.3169,219.169,4,3,2
10,3.76343,224.873,4,0,2
42,17.5576,172.244,11,6,1
26,11.3384,173.114,2,4,1
87,35.6893,72.7246,24,20,0
11,6.2997,250.132,2,3,2
12,3.61052,249.44,4,4,2
53,24.3153,131.582,8,15,1
11,4.54034,254.636,1,3,2
14,5.77801,229.906,3,5,2
14,6.20444,245.556,5,2,2
1,0.480926,230.163,0,1,2
52,24.6777,120.535,13,13,1
100,39.5209,72.4269,28,18,0
39,13.2058,197.884,15,4,2
34,14.8561,169.218,10,9,1
29,12.9063,178.953,4,9,2
37,15.1468,166.431,8,10,1
68,27.3716,92.904,17,13,0
3,0.713878,263.132,2,0,2
28,12.6944,164.329,9,5,2
34,13.7952,173.477,8,11,2
30,12.9041,173.019,7,7,2
99,38.0571,52.705,32,18,0
98,34.5008,90.8085,26,20,1
49,19.967,172.084,10,9,1
10,4.2316,242.891,4,1,2
9,2.04215,257.674,3,0,2
90,40.0585,68.7705,22,19,1
92,42.7182,71.2522,21,13,1
4,1.16114,249.289,2,0,2
12,5.36023,248.716,0,4,2
3,0.915692,262.985,1,0,2
54,26.5159,139.916,12,14,1
17,10.4728,232.572,3,3,2
4,1.0983,265.535,2,1,2
18,6.27729,204.255,4,4,2
11,3.69188,250.102,2,1,2
12,3.44893,258.476,4,3,2
74,36.4647,81.9491,16,14,0
67,26.1714,111.851,12,8,1
26,12.5598,204.118,4,8,2
59,22.8686,117.544,16,15,1
22,9.95914,192.608,6,6,2
92,37.3517,83.3878,26,18,0
62,24.9955,127.418,18,15,1
55,22.067,160.372,12,11,1
9,3.13449,240.462,2,1,2
95,37.4398,96.441,32,21,1
71,30.7617,87.148,17,10,1
16,7.09566,244.474,3,4,2
27,10.9656,136.91,9,5,2
17,8.73856,243.375,2,4,2
95,41.9756,74.7115,22,19,0
3,0.68778,261.992,1,0,2
36,17.1118,154.924,10,4,2
16,7.0756,200.953,5,4,2
66,31.1599,139.985,14,11,1
101,39.2381,57.8303,21,29,1
104,43.1425,85.9177,28,28,0
39,14.9642,132.35,9,8,1
61,23.6479,135.914,12,19,2
4,2.14337,257.898,0,1,2
51,20.0524,157.954,13,11,1
105,49.2355,72.6244,17,23,0
8,3.83574,257.224,3,2,2
38,15.9459,197.105,10,6,2
52,20.4149,142.402,14,6,2
14,5.27206,218.344,3,4,2
100,45.4606,68.2788,21,24,0
13,7.16336,216.729,3,4,2
57,21.4584,130.28,16,11,1
76,30.4568,81.9473,24,16,1
70,29.2708,132.122,15,11,1
44,19.1283,193.756,8,13,2
1,0.25135,263.517,0,0,2
97,37.1162,131.616,28,24,1
102,39.2001,87.7737,23,21,1
2,0.409292,254.322,1,0,2
6,2.81647,255.583,2,1,2
20,8.08266,231.048,6,3,2
90,38.6755,54.2616,31,20,0
82,34.4158,70.2253,16,22,0
10,4.70341,198.075,1,2,2
89,40.1347,108.572,17,18,1
7,2.97583,242.605,2,3,2
30,14.5923,199.881,5,5,1
72,30.1909,122.748,22,14,1
36,18.0178,156.796,8,2,1
73,30.8433,113.317,13,10,1
28,10.5941,195.023,7,6,2
84,37.8556,54.3487,20,14,0
78,33.7969,159.574,20,14,1
4,1.3806,258.738,1,2,2
41,19.5186,159.437,8,9,2
12,3.85718,238.621,5,1,2
96,42.5396,78.5975,15,22,0
23,8.26158,224.481,9,3,2
37,15.5848,161.218,5,7,1
36,15.8697,169.545,7,7,1
25,10.1468,162.134,6,7,1
10,4.61238,251.775,1,5,2
42,18.8275,118.351,11,7,1
49,19.9032,144.084,10,16,2
16,6.53387,236.459,4,3,2
32,12.6351,195.382,7,7,2
12,4.77867,228.367,1,2,2
